Evaluation over 1000 episodes
Success rate: 73.20%
Average episode length: 43.93 steps

Episode 831: steps=16, success=False
Episode 832: steps=77, success=True
Episode 833: steps=15, success=True
Episode 834: steps=100, success=False
Episode 835: steps=39, success=True
Episode 836: steps=29, success=True
Episode 837: steps=16, success=True
Episode 838: steps=29, success=False
Episode 839: steps=66, success=True
Episode 840: steps=18, success=False
Episode 841: steps=44, success=True
Episode 842: steps=26, success=True
Episode 843: steps=83, success=True
Episode 844: steps=100, success=False
Episode 845: steps=50, success=True
Episode 846: steps=10, success=True
Episode 847: steps=26, success=True
Episode 848: steps=27, success=True
Episode 849: steps=34, success=False
Episode 850: steps=24, success=True
Episode 851: steps=100, success=False
Episode 852: steps=71, success=True
Episode 853: steps=10, success=True
Episode 854: steps=90, success=True
Episode 855: steps=57, success=True
Episode 856: steps=24, success=True
Episode 857: steps=45, success=True
Episode 858: steps=43, success=False
Episode 859: steps=14, success=True
Episode 860: steps=54, success=True
Episode 861: steps=81, success=True
Episode 862: steps=25, success=False
Episode 863: steps=22, success=True
Episode 864: steps=13, success=True
Episode 865: steps=18, success=True
Episode 866: steps=100, success=False
Episode 867: steps=14, success=True
Episode 868: steps=41, success=False
Episode 869: steps=58, success=True
Episode 870: steps=31, success=False
Episode 871: steps=29, success=True
Episode 872: steps=18, success=True
Episode 873: steps=57, success=False
Episode 874: steps=67, success=True
Episode 875: steps=66, success=False
Episode 876: steps=59, success=True
Episode 877: steps=44, success=True
Episode 878: steps=100, success=False
Episode 879: steps=37, success=True
Episode 880: steps=46, success=True
Episode 881: steps=18, success=True
Episode 882: steps=35, success=True
Episode 883: steps=100, success=False
Episode 884: steps=14, success=True
Episode 885: steps=17, success=False
Episode 886: steps=48, success=False
Episode 887: steps=38, success=True
Episode 888: steps=11, success=True
Episode 889: steps=30, success=True
Episode 890: steps=83, success=False
Episode 891: steps=66, success=True
Episode 892: steps=97, success=True
Episode 893: steps=32, success=True
Episode 894: steps=17, success=True
Episode 895: steps=23, success=True
Episode 896: steps=15, success=False
Episode 897: steps=52, success=True
Episode 898: steps=39, success=True
Episode 899: steps=93, success=True
Episode 900: steps=84, success=True
Episode 901: steps=48, success=True
Episode 902: steps=100, success=False
Episode 903: steps=100, success=False
Episode 904: steps=25, success=True
Episode 905: steps=39, success=True
Episode 906: steps=25, success=True
Episode 907: steps=96, success=False
Episode 908: steps=45, success=True
Episode 909: steps=100, success=False
Episode 910: steps=33, success=True
Episode 911: steps=13, success=True
Episode 912: steps=32, success=True
Episode 913: steps=30, success=False
Episode 914: steps=44, success=True
Episode 915: steps=12, success=False
Episode 916: steps=100, success=False
Episode 917: steps=20, success=True
Episode 918: steps=41, success=True
Episode 919: steps=65, success=True
Episode 920: steps=42, success=True
